,Key,Value,id
33853,derivation_entropy,1.9424,159
33854,word_entropy,1.88916,159
33855,word_delay_1_mutual_entropy,1.73287,159
33856,word_delay_2_mutual_entropy,1.74787,159
33857,word_delay_3_mutual_entropy,1.56071,159
33858,word_delay_4_mutual_entropy,1.60944,159
33859,word_delay_5_mutual_entropy,1.38629,159
33860,derivation_delay_1_mutual_entropy,1.0426,159
33861,derivation_delay_2_mutual_entropy,1.33661,159
33862,derivation_delay_3_mutual_entropy,0.825203,159
33863,derivation_delay_4_mutual_entropy,1.16248,159
33864,derivation_delay_5_mutual_entropy,0.811641,159
33865,word_delay_1_transitional_entropy,2.07944,159
33866,word_delay_2_transitional_entropy,1.94591,159
33867,word_delay_3_transitional_entropy,1.79176,159
33868,word_delay_4_transitional_entropy,1.60944,159
33869,word_delay_5_transitional_entropy,1.38629,159
33870,derivation_delay_1_transitional_entropy,2.78499,159
33871,derivation_delay_2_transitional_entropy,2.42698,159
33872,derivation_delay_3_transitional_entropy,2.87822,159
33873,derivation_delay_4_transitional_entropy,2.59531,159
33874,derivation_delay_5_transitional_entropy,2.8571,159
33875,word_delay_1_transfer_entropy,0.0,159
33876,word_delay_2_transfer_entropy,0.0,159
33877,word_delay_3_transfer_entropy,0.0,159
33878,word_delay_4_transfer_entropy,0.0,159
33879,word_delay_5_transfer_entropy,0.0,159
33880,derivation_delay_1_transfer_entropy,0.808264,159
33881,derivation_delay_2_transfer_entropy,0.288136,159
33882,derivation_delay_3_transfer_entropy,0.754367,159
33883,derivation_delay_4_transfer_entropy,0.472569,159
33884,derivation_delay_5_transfer_entropy,0.830131,159
33885,depth_of_tree,11.0,159
33886,1_layer_symbol_tree__entropy,2.07711,159
33887,2_layer_symbol_tree__entropy,1.99288,159
33888,3_layer_symbol_tree__entropy,1.94671,159
33889,4_layer_symbol_tree__entropy,2.0825,159
33890,5_layer_symbol_tree__entropy,2.33772,159
33891,1_layer_derivation_tree__entropy,0.713876,159
33892,2_layer_derivation_tree__entropy,0.694435,159
33893,3_layer_derivation_tree__entropy,0.714332,159
33894,4_layer_derivation_tree__entropy,0.73649,159
33895,5_layer_derivation_tree__entropy,0.898759,159
33896,pre_2_end_8,2.26126,159
33897,pre_2_end_7,1.44882,159
33898,pre_2_end_6,0.701014,159
33899,pre_2_end_5,1.55502,159
33900,pre_2_end_4,2.01555,159
